CHEMICAL,Pubchem_ID
CUMENE,7406
"2,4-D",1486
QUINOLINE,7047 
NAPHTHALENE,931
PENTACHLOROPHENOL,992
CREOSOTE,
TRICHLOROETHYLENE,6575
"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)""",
ETHYLENE OXIDE,6354
DICHLOROMETHANE,6344
COBALT,104730
CADMIUM,23973
NICKEL,935
LEAD,5352425
BENZENE,241
"N,N-DIMETHYLFORMAMIDE",6628
CHLOROFORM,6212
FORMALDEHYDE,712
POLYCHLORINATED BIPHENYLS,
MOLYBDENUM TRIOXIDE,14802
TETRACHLOROETHYLENE,31373
"1,4-DIOXANE",31275
DI(2-ETHYLHEXYL) PHTHALATE,8343
DIETHANOLAMINE,8113
METHYL ISOBUTYL KETONE,
"1,2-DICHLOROETHANE",11
"1,3-BUTADIENE",7845
"1,2-DIBROMOETHANE",7839
EPICHLOROHYDRIN,7835
"4,4'-METHYLENEDIANILINE",7577
STYRENE,7501
ETHYLBENZENE,7500